OBJECTID,NAME,WARD,LENGTH_IN_METRES,NEW_UPGRADE,TYPE,USERS,GRADE,DEG_DIFF_RATING,GEN_DESC,PARKING_ACCESS,LINKS,SPEC_CONSID,CLASS_EA,CURB_SHOULDER,FACILITY_STYLE,TRAFFIC_CONTROL
1944,Wilson Anc,12,61.488,,Bicycle Lane,,,,,,,,,,,
1945,,,433.904,,,,,,,,,,,,,
1946,,,506.571,,Low Auto Volume Sugg,,,,,,,,,,,
1947,Stinson St,3,4.821,,Bicycle Lane,,,,,,,,,,,
1948,Stinson St,3,80.254,,Bicycle Lane,,,,,,,,,,,
1949,Herkimer,1,405.464,,Bicycle Lane,,,,,,,Greenway,,,,
1950,Herkimer,1,206.311,,Bicycle Lane,,,,,,,Greenway,,,,
1951,Herkimer,1,210.808,,Bicycle Lane,,,,,,,Greenway,,,,
1952,Herkimer,2,103.956,,Bicycle Lane,,,,,,,Greenway,,,,
1953,Herkimer,2,142.577,,Bicycle Lane,,,,,,,Greenway,,,,
1954,Herkimer,2,171.073,,Bicycle Lane,,,,,,,Greenway,,,,
1955,Herkimer,2,135.376,,Bicycle Lane,,,,,,,,,,,
1956,Herkimer,2,136.345,,Bicycle Lane,,,,,,,,,,,
1957,Winterberry Dr,9,230.064,,Bicycle Lane,,,,,,,,,,,
1958,Maple Dr,10,289.231,,Low Auto Volume Sugg,,,,,,,,,,,
1959,Royce Av,10,180.754,,Low Auto Volume Sugg,,,,,,,,,,,
1960,Maple Dr,10,20.241,,Low Auto Volume Sugg,,,,,,,,,,,
1961,Maple Dr,10,275.742,,Low Auto Volume Sugg,,,,,,,,,,,
1962,Maple Dr,10,96.149,,Low Auto Volume Sugg,,,,,,,,,,,
1963,Paramount Dr,9,182.206,,Bicycle Lane,,,,,,,,,,,
1964,Old Governor's Rd,12,331.421,,Medium Auto Volume S,,,,,,,,,,,
1965,Inksetter Rd,12,48.398,,Medium Auto Volume S,,,,,,,,,,,
1966,Concession 2 W,12,1366.023,,Medium Auto Volume S,,,,,,,,,,,
1967,Concession 2 W,12,945.513,,Low Auto Volume Sugg,,,,,,,,,,,
1968,Limeridge Rd E,7,53.534,,Signed Bike Route,,,,,,,,,,,
1969,Limeridge Rd E,7,29.184,,Signed Bike Route,,,,,,,,,,,
1970,Limeridge Rd E,7,41.046,,Signed Bike Route,,,,,,,,,,,
1971,Limeridge Rd E,7,57.228,,Signed Bike Route,,,,,,,,,,,
1972,Limeridge Rd E,7,23.822,,Signed Bike Route,,,,,,,,,,,
1973,Limeridge Rd E,7,29.938,,Signed Bike Route,,,,,,,,,,,
1974,Limeridge Rd E,7,106.698,,Signed Bike Route,,,,,,,,,,,
1975,Limeridge Rd E,7,75.442,,Signed Bike Route,,,,,,,,,,,
1976,Limeridge Rd E,7,76.416,,Signed Bike Route,,,,,,,,,,,
1977,Limeridge Rd E,7,54.57,,Signed Bike Route,,,,,,,,,,,
1978,Limeridge Rd E,7,81.266,,Signed Bike Route,,,,,,,,,,,
