X,Y,OBJECTID,LOCATION_NAME,ADDRESS,RACK_OWNER,RACKS_INSTALLED,RACK_TYPE,TOTAL_CAPACITY,COVERED,NEARBY_LIGHTING,WARD,EXTERNAL,LATITUDE,LONGITUDE
589699.3021,4788750.5286,125,Bottom of Dundurn Stairs,534 Dundurn Street South,Municipal,1,Advertising Rack,4,No,Yes,1,Yes,43.246222,-79.89509
601932.6845,4786262.7047,126,Hamilton Public Library (Saltfleet Branch),"131 Gray Road, Stoney Creek",Municipal,1,Multi-Ring,6,No,Yes,5,Yes,43.22227068,-79.74489315
590378.9688,4786985.1815,127,Hamilton Public Library (Terryberry Branch),100 Mohawk Road West,Municipal,1,Multi-Ring,10,No,Yes,8,Yes,43.2302474,-79.8870088
588417.502,4779231.2512,128,Hamilton Public Library - Mount Hope,"3027 Homestead Drive, Mount Hope",Municipal,1,Multi-Ring,4,No,Yes,11,Yes,43.16067,-79.9124
591754.7607,4789577.844,129,Hamilton Go Centre,36 Hunter St E.,,1,Multi-Ring,14,No,Yes,2,Yes,43.25342294,-79.86963803
592995.7145,4788286.7638,130,East Uptown Yoga,489 Concession Street,ROW,1,Hammer Hoop,2,No,Yes,7,Yes,43.24164741,-79.85457107
593202.8801,4786155.6947,132,Walmart,Mohawk Rd E and Upper Sherman,Private ,1,Multi-Ring,10,Yes,Yes,7,Yes,43.222436,-79.85238
593144.9847,4786171.8951,133,Walmart,Mohawk Rd E and Upper Sherman,Private ,1,Multi-Ring,14,Yes,Yes,7,Yes,43.222589,-79.85309
592436.1872,4786027.7029,134,Scotiabank,859 Upper Wentworth St,Private ,1,Multi-Ring,4,No,Yes,7,Yes,43.221378,-79.86184
592386.3403,4785592.0828,135,Limeridge Mall,limeridge area,Private ,1,Multi-Ring,4,No,Yes,7,Yes,43.21746223,-79.86252656
592389.2285,4785595.8276,136,Sport Check,limeridge mall,Private ,1,Hammer Hoop,4,No,Yes,7,Yes,43.21749559,-79.86249038
590340.2692,4789380.1595,137,Locke St. Library,285 Locke St. S,ROW,1,Hammer Hoop,6,,,1,Yes,43.25181404,-79.88709285
594293.3592,4786693.034,138,Dollarama,Fennell E and Upper Gage,Private ,1,Multi-Ring,8,Yes,Yes,6,Yes,43.22713813,-79.83886364
594353.0899,4786859.488,139,Shoppers Drug Mart,Fennell East and Upper Gage,Private ,1,Multi-Ring,4,Yes,Yes,6,Yes,43.22862923,-79.8380998
594359.0995,4786884.7451,140,Beer Store,Fennell E and Upper Gage,Private ,1,Multi-Ring,6,No,Yes,6,Yes,43.22885586,-79.83802149
594254.5492,4786824.4391,141,Cooler's Sports Bar ,Fennell E and Upper Gage,Private ,1,Multi-Ring,7,Yes,Yes,7,Yes,43.228326,-79.83931901
593641.291,4787434.323,142,First Ontario Credit Union,upper sherman,Private ,1,Hammer Hoop,4,No,Yes,7,Yes,43.23389309,-79.84676583
592783.3045,4787162.9839,143,Value Village,Fennell E and Upper Wentworth,Private ,1,Multi-Ring,6,Yes,Yes,7,Yes,43.23155627,-79.85737589
592705.4764,4787068.6995,144,Boutique Fit Women's Gym and Nutri Bar Cafe,635 Upper Wentworth Street ,Private ,1,Multi-Ring,8,No,Yes,7,Yes,43.230717,-79.85835
590759.6802,4790897.5153,145,Albanese Branding,435 York Blvd,Private,1,Hammer Hoop,2,,,1,Yes,43.26542436,-79.88167706
590562.0638,4790131.3421,146,RBC,Locke Street South and Main Street West,Private ,1,Hammer Hoop,2,No,Yes,1,Yes,43.25855031,-79.88423758
594599.1283,4790363.7657,148,Cotton Factory,270 Sherman Avenue North,ROW,1,Hammer Hoop,6,No,Yes,3,Yes,43.26014687,-79.83446922
585893.7948,4790237.7175,149,J.C.'s Convenience,10 Osler Court,ROW,1,Hammer Hoop,2,No,Yes,13,Yes,43.26005451,-79.94172613
595861.3166,4788532.8172,150,Hamilton Regional Indigenous Centre,34 Ottawa Street North,ROW,1,Hammer Hoop,8,No,Yes,4,Yes,43.24350375,-79.81923988
596020.0093,4789048.6503,151,Unused Building at Time of Entry,204 Ottawa Street North,ROW,1,Hammer Hoop,10,No,Yes,4,Yes,43.2481275,-79.81719575
591754.1671,4789771.6453,152,Hamilton Club,6 Main Street East,ROW,1,Hammer Hoop,2,No,Yes,2,Yes,43.25516779,-79.86961307
593449.9578,4789227.7156,153,Culantro Peruvian Eatery,537 Main Street East,ROW,1,Hammer Hoop,4,No,Yes,3,Yes,43.25006253,-79.84881772
594687.4405,4788805.8997,154,,895 Main Street East,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.24611059,-79.83364909
593328.0248,4790359.9036,155,Motel,359 Barton Street East,ROW,1,Hammer Hoop,2,No,Yes,3,Yes,43.26027058,-79.85012769
591192.8997,4788045.0045,156,Big Bonus Convenience,601 Upper James Street,ROW,1,Hammer Hoop,2,No,Yes,8,Yes,43.23969102,-79.87681211
